Type,Price,Price Category,Bedrooms,Bathrooms,Area,Area Category,Furnished,Level,Payment_Option,Delivery_Term,City
Apartment,5000000,Greater Than Q3 ( 4100000 ) ,3,3,250,Greater Than Q3 (  200  ) ,Yes,3,Cash,Finished,Sidi Beshr
Apartment,2700000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,2,2,100,Less Than or Equal to Q1 ( 127  ) ,No,3,Cash or Installment,Semi Finished,6th of October
Apartment,9500000,Greater Than Q3 ( 4100000 ) ,3,3,265,Greater Than Q3 (  200  ) ,Yes,10,Cash,Finished,Giza District
Apartment,870000,Less Than or Equal to Q1 ( 1200000 ) ,2,1,80,Less Than or Equal to Q1 ( 127  ) ,No,12,Cash,Finished,Degla Gardens
Apartment,2200000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,175,Between Q2(  160  )  and Q3 (  200  ) ,No,4,Cash,Finished,Sheikh Zayed
Apartment,4861600,Greater Than Q3 ( 4100000 ) ,4,3,340,Greater Than Q3 (  200  ) ,No,1,Cash,Semi Finished,New Cairo - El Tagamoa
Apartment,2900000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,1,1,77,Less Than or Equal to Q1 ( 127  ) ,No,3,Cash or Installment,Semi Finished,6th of October
Duplex,5800000,Greater Than Q3 ( 4100000 ) ,4,4,198,Between Q2(  160  )  and Q3 (  200  ) ,No,13,Installment,Semi Finished,New Cairo - El Tagamoa
Apartment,3000000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,4,3,217,Greater Than Q3 (  200  ) ,No,2,Cash or Installment,Semi Finished,6th of October
Apartment,1266000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,1,150,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,4,Cash,Finished,Montazah
Apartment,620000,Less Than or Equal to Q1 ( 1200000 ) ,2,1,74,Less Than or Equal to Q1 ( 127  ) ,No,1,Installment,Finished,Madinaty
Apartment,1100000,Less Than or Equal to Q1 ( 1200000 ) ,2,1,130,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,3,Cash,Semi Finished,Garden Hills
Apartment,450000,Less Than or Equal to Q1 ( 1200000 ) ,2,1,85,Less Than or Equal to Q1 ( 127  ) ,No,6,Cash,Finished,Victoria
Apartment,3750000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,2,3,158,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,1,Cash,Not Finished,October Plaza Sodic
Studio,340000,Less Than or Equal to Q1 ( 1200000 ) ,1,1,51,Less Than or Equal to Q1 ( 127  ) ,No,12,Installment,Finished,Madinaty
Apartment,3000000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,2,140,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,4,Cash,Finished,6th of October
